,M_ac_e,M_co2_e,M_etoh_e,M_fe2_e,M_fum_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_mal__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_cit_e
311,0.0,4.772288163637706,0.0,-9.49820195591605e-06,0.0,0.0,8.183624281022707,0.0,-5.717347968427771,0.0,3.7786441022981467,-3.048298460749891,0.0,0.0,-0.2601962586102934,0.0,0.0,-0.06983888218744451,0.0,0.27935888105635254,1.0,-8.02716689622807
315,0.0,0.0,0.0,-9.498201955916044e-06,0.0,0.0,9.377421691626237,10.10499831226332,-1.2855406490605992,0.0,3.316296121937558,-9.476732015351713,-0.43855484889786117,3.2142167773009116,-0.26019625861028994,0.0,0.0,-0.0698388821874418,0.0,0.27935888105635276,1.0,-10.0
317,0.0,5.274816045182679,0.0,-9.498201955916056e-06,0.0,0.0,9.377421691626248,0.0,-6.998911543141145,0.0,4.193405819733288,-3.324806272373316,0.0,0.138253905811712,-0.260196258610291,0.0,2.198853173693475,-0.06983888218744541,0.0,0.27935888105635437,1.0,-10.0
320,0.0,0.8771096977957227,0.0,-9.49820195591604e-06,0.0,0.0,9.377421691626232,6.596559521080421,-2.6012051957541855,0.0,4.193405819733281,-7.722512619760261,0.0,2.3371070795051856,-0.2601962586102901,0.0,0.0,-0.06983888218744508,0.0,0.27935888105635287,1.0,-10.0
323,0.0,3.875545843741376,0.0,-9.498201955916054e-06,0.0,0.0,9.977108920815377,0.0,-4.999954112510709,0.0,5.392780278111546,-4.124389244625489,0.0,0.5380453919377968,-0.26019625861029155,0.0,0.0,-0.06983888218744518,0.0,0.279358881056352,1.0,-10.0
326,0.0,0.0,0.0,-9.498201955916044e-06,0.0,0.0,2.4384474901031594,13.57448541302486,-1.7240954979584604,0.0,5.9086735249033735,-9.476732015351713,0.0,3.2142167773009116,-0.26019625861028994,0.0,0.0,-0.0698388821874418,0.8771096977957223,0.27935888105635276,1.0,-10.0
331,0.0,0.0,0.0,-9.498201955916044e-06,0.0,0.0,9.377421691626237,10.10499831226332,-1.7240954979584604,0.0,2.439186424141832,-9.476732015351713,0.0,3.2142167773009116,-0.26019625861028994,0.0,0.0,-0.0698388821874418,0.8771096977957223,0.27935888105635276,1.0,-10.0
334,0.0,5.325425429282627,0.0,-9.498201955916057e-06,0.0,0.5531372656449197,0.0,3.9351014870927723,-6.270485234072698,0.0,10.00000000000002,-3.601435726394812,0.0,0.0,-0.26019625861029183,0.0,0.0,-0.06983888218744505,0.0,0.27935888105635387,1.0,-10.0
335,0.0,1.6899255278301124,0.0,-9.49820195591607e-06,0.0,0.8128158300343884,0.0,12.504494111945156,-3.41402102578858,0.0,7.662892920494839,-8.53532844979467,0.0,2.337107079505192,-0.2601962586102912,0.0,0.0,-0.06983888218744413,0.0,0.27935888105635254,1.0,-10.0
337,0.0,8.091111757507237,0.0,-9.49820195591605e-06,0.0,0.0,0.0,5.594513284027538,-4.88764206996039,0.0,10.000000000000018,-3.0482984607498893,-2.489117695402148,0.0,-0.2601962586102906,0.0,0.0,-0.06983888218744451,0.0,0.27935888105635137,1.0,-10.0
