,M_ca2_e,M_co2_e,M_fe2_e,M_fe3_e,M_for_e,M_gly_e,M_h2_e,M_h2o_e,M_h_e,M_ile__45__L_e,M_k_e,M_leu__45__L_e,M_lys__45__L_e,M_mal__45__L_e,M_mg2_e,M_n2_e,M_pi_e,M_pro__45__L_e,M_so4_e,M_val__45__L_e,objective,virtual_tag_R_constraint_reaction,M_cit_e
304,-0.000567034620421758,29.853226804989188,289.761359937955,-289.761359937955,0.0,0.0,-128.92553319204734,0.0,259.7598160340991,0.0,-0.1338202162391222,0.0,0.0,0.19340942301549044,-0.01927918372613325,-2.6090768922986505,-1.0719075426739038,1.125124745500046,-0.10076925966295879,0.0,0.6028903161968417,1.0,-10.0
305,-0.0005670346204217548,30.20906768198141,340.3737026160596,-340.3737026160596,0.0,0.0,-155.41582614428475,0.0,309.3352968093707,0.0,-0.13382021623911414,0.0,0.9179383320216975,0.1339476376099338,-0.019279183726133138,-2.964452851570312,-1.0719075426738744,0.0,-0.10076925966296499,0.0,0.6028903161968499,1.0,-10.0
306,-0.000567034620421799,28.37319101794006,270.6103893824244,-270.6103893824244,0.0,0.0,-115.94447786735672,-3.671753328087394,244.1616752358425,0.0,-0.13382021623919302,0.0,0.0,1.969824301653587,-0.019279183726134644,-2.046514519548734,-1.0719075426739784,0.0,-0.1007692596629015,0.0,0.6028903161969716,1.0,-10.0
307,-0.0005670346204217768,24.701437689851723,281.6256493666758,-281.6256493666758,0.0,0.0,-126.95973785161408,0.0,257.01281188413856,0.0,-0.13382021623911733,0.0,0.0,0.1339476376098747,-0.019279183726133887,-2.0465145195486727,-1.071907542673893,0.0,-0.10076925966289305,0.0,0.6028903161969339,1.0,-8.16412333595643
308,-0.0005670346204218106,30.20906768198442,309.1637993273491,-309.1637993273491,0.0,0.0,-139.3519053339171,0.0,279.04333185267905,0.9179383320218566,-0.13382021623913426,0.0,0.0,0.13394763760989323,-0.01927918372613504,-2.505483685559669,-1.0719075426740208,0.0,-0.10076925966297494,0.0,0.6028903161969755,1.0,-10.0
309,-0.0005670346204217926,27.638840352322315,300.963550227944,-300.963550227944,0.0,0.0,-135.89433761663042,0.0,273.0461347501274,0.0,-0.13382021623912344,0.0,0.0,1.2354736360361191,-0.01927918372613443,-2.413689852357438,-1.0719075426739444,0.7343506656174144,-0.1007692596629717,0.0,0.602890316196872,1.0,-10.0
310,-0.0005670346204217628,26.30722252654148,335.40771787277646,-335.40771787277646,0.0,0.0,-154.52904315441415,0.0,308.44851381950224,0.0,-0.13382021623911844,0.0,0.3858685380980615,1.907513617355547,-0.019279183726133412,-2.4323830576467125,-1.0719075426738942,0.0,-0.10076925966296642,0.0,0.6028903161968479,1.0,-10.0
311,-0.0005670346204217605,24.67799981012711,316.8002794800443,-316.8002794800443,0.0,0.0,-144.58220972788462,-0.9003599222288156,292.1991609373698,0.0,-0.13382021623919377,0.0,0.0,2.8936221036062526,-0.01927918372613334,-2.046514519548648,-1.0719075426738494,0.0,-0.100769259662966,0.0,0.6028903161968466,1.0,-10.0
312,-0.0005670346204217713,23.92769987493683,313.3488997781729,-313.3488997781729,0.0,0.0,-143.9819697797347,0.0,289.1229312030932,0.0,-0.13382021623919385,0.0,0.0,2.0682921748964884,-0.0192791837261337,-2.046514519548593,-1.071907542673918,0.0,-0.10076925966296792,0.0,0.6028903161968887,1.0,-9.324730058328319
313,-0.0005670346204218154,28.4294994860836,336.7582577561511,-336.7582577561511,0.0,0.0,-153.99847391454352,0.0,308.25557955048185,0.0,-0.13382021623918625,0.675269941671674,0.0,0.942842272110398,-0.0192791837261352,-2.384149490384606,-1.0719075426740208,0.0,-0.10076925966297576,0.0,0.6028903161969188,1.0,-10.0
314,-0.0005670346204217984,25.953509699953138,323.4779489032637,-323.4779489032637,0.0,0.0,-148.54004188602573,0.0,297.22617050316774,0.3376349708357557,-0.1338202162391645,0.0,0.0,2.068292174896531,-0.019279183726134623,-2.215332004966639,-1.0719075426739946,0.0,-0.10076925966297275,0.0,0.6028903161968794,1.0,-10.0
315,-0.0005670346204217565,25.0081317816109,320.46174316377306,-320.46174316377306,0.0,0.0,-147.26828349586646,0.0,295.020288693685,0.0,-0.1338202162390946,0.0,0.0,2.473454139899385,-0.019279183726133197,-2.181568507882916,-1.0719075426738542,0.27010797666864683,-0.1007692596629653,0.0,0.6028903161969248,1.0,-10.0
316,-0.0005670346204217993,26.538743649401994,327.84469452607476,-327.84469452607476,0.0,0.0,-150.55459721201333,0.0,300.9626641804184,0.0,-0.13382021623920248,0.0,0.0,1.7531662021164036,-0.019279183726134654,-2.3166224962173825,-1.0719075426740128,0.0,-0.10076925966297291,0.5402159533373486,0.602890316196884,1.0,-10.0
317,-0.0005670346204218053,23.84195209980982,346.38937704643297,-346.38937704643297,0.0,0.0,-161.02839246126868,0.0,322.00750116655996,0.0,-0.13382021623918525,0.0,0.049695298089011665,3.028091084052737,-0.019279183726134852,-2.096209817637734,-1.0719075426739724,0.0,-0.10076925966297394,0.0,0.602890316196877,1.0,-10.0
