,M_ac_e,M_co2_e,M_etoh_e,M_fe2_e,M_fum_e,M_glu__45__L_e,M_glyclt_e,M_h2o_e,M_h_e,M_hom__45__L_e,M_nh4_e,M_o2_e,M_orot_e,M_pi_e,M_pro__45__L_e,M_pyr_e,M_so4_e,M_succ_e,objective,virtual_tag_R_constraint_reaction,M_mal__45__L_e
89,0.0,0.0,0.0,-6.83275691689854e-06,0.0,0.2953659665712814,0.0,23.019752936823433,-2.8333577405290415,2.3463693557857366,-13.06290172122488,0.0,4.114150290914492,-0.18717835165246677,0.0,0.0,-0.05024025679276034,0.0,0.20096343873230582,1.0,-10.0
90,0.0,0.0,0.0,-6.832756916898555e-06,0.0,0.29473795582524487,0.010048171936610905,23.0053086896646,-2.832101719036974,2.344485323547623,-13.05662161376452,0.0,4.112266258676387,-0.18717835165246524,0.0,0.0,-0.05024025679276127,0.0,0.20096343873230757,1.0,-10.0
91,0.0,0.0,0.18053125529967784,-6.832756916898565e-06,0.0,0.0,0.0,20.033513480651667,-0.782354351314592,0.0,-9.371095620638897,0.0,3.5891149018000106,-0.18717835165246713,0.0,0.0,-0.050240256792760465,3.2816054227431355,0.2009634387323091,1.0,-10.0
92,0.0,0.0,0.17952643810601654,-6.832756916898545e-06,0.0,0.0,0.010048171936614924,20.02045085713401,-0.7823543513145904,0.0,-9.367076351864226,0.0,3.587105267412678,-0.18717835165246552,0.0,0.0,-0.05024025679275767,3.279595788355803,0.20096343873231007,1.0,-10.0
93,0.0,0.0,0.5907319331425678,-6.832756916898547e-06,0.0,0.0,0.0,23.315118903394747,-2.833357740529047,2.051003389214454,-13.062901721224895,0.0,4.409516257485782,-0.18717835165246674,0.0,0.0,-0.05024025679275851,0.0,0.20096343873230785,1.0,-10.0
94,0.0,0.0,0.5894759116504941,-6.832756916898541e-06,0.0,0.0,0.010048171936614605,23.300046645489804,-2.8321017190369684,2.049747367722372,-13.056621613764499,0.0,4.407004214501626,-0.18717835165246505,0.0,0.0,-0.050240256792757364,0.0,0.2009634387323064,1.0,-10.0
95,0.0,16.408027113715637,6.743742100785934,-6.832756916898546e-06,0.0,0.0,0.0,6.907091789679106,-17.19038146503023,0.0,-2.807884775152616,0.0,0.30750947905687476,-0.18717835165246538,0.0,0.0,-0.05024025679275741,0.0,0.20096343873230632,1.0,-10.0
96,0.0,16.39797894177906,6.738718014817643,-6.832756916898562e-06,0.0,0.0,0.010048171936614274,6.902067703710811,-17.180333293093653,0.0,-2.807884775152624,0.0,0.3075094790568756,-0.18717835165246408,0.0,0.0,-0.050240256792757156,0.0,0.20096343873230618,1.0,-10.0
97,0.0,0.0,0.0,-6.832756916898555e-06,0.9026562764984027,0.0,0.0,19.49191971475259,-0.7823543513145939,0.0,-8.648970599440158,0.0,3.2280523912006442,-0.18717835165246402,0.0,0.0,-0.05024025679276043,2.920542912143767,0.2009634387323101,1.0,-10.0
98,0.0,0.0,0.0,-6.832756916898544e-06,0.8976321905300932,0.0,0.010048171936611838,19.481871542815945,-0.7823543513145902,0.0,-8.648970599440144,0.0,3.22805239120064,-0.18717835165246646,0.0,0.0,-0.05024025679275778,2.9205429121437616,0.20096343873230785,1.0,-10.0
